"Invoice","Rechnung"
"Customer Email: %s","Email-Adresse: %s"
"TAX/VAT Number: %s","USt.-Id.: %s"
"Invoice #%s","Rechnung Nr. %s"
"Shipment #%s","Lieferschein Nr. %s"
"Creditmemo #%s","Korrekturrechnung Nr. %s"
"Invoice Date: %s","Rechnungsdatum: %s"
"Shipment Date: %s","Lieferscheindatum: %s"
"Creditmemo Date: %s","Gutschriftdatum: %s"
"Order No.: %s","Bestellnr.: %s"
"Order Date: %s","Bestelldatum: %s"
"Customer No.: %s","Kundennr.: %s"
"Payment Method","Zahlungsart"
"Shipping Method","Versandart"
"SKU","Artikelnr."
"Product Name","Artikelname"
"Qty","Menge"
"Price","Preis"
"Tax (%)","MwSt. (%)"
"Row Total","Zwischensumme"
"Used coupon code: %s","Verwendeter Gutschein-Code: %s"
"Message from: %s","Nachricht von: %s"
"Message to: %s","Nachricht für: %s"
"Page {PAGE_NUM} of {PAGE_COUNT}","Seite {PAGE_NUM} von {PAGE_COUNT}"
"Print Invoice PDF","PDF-Rechnung drucken"
"Print Shipment PDF","PDF-Lieferschein drucken"
"Print PDF Invoices","PDF-Rechnungen drucken"
"Print PDF Shipments","PDF-Lieferscheine drucken"
"Print Creditmemo PDF","PDF-Gutschrift drucken"
"Print PDF Creditmemos","PDF-Gutschriften drucken"
"%g%% tax","%g%% MwSt."
"You may also be interested in the following product(s):","Sie könnten auch an folgenden Produkten interessiert sein:"
"Subtotal","Zwischensumme"
"Grand Total","Gesamtsumme"
"Shipping","Versand"
"Subtotal (excl. tax)","Zwischensumme (exkl. MwSt.)"
"Subtotal (incl. tax)","Zwischensumme (inkl. MwSt.)"
"Discount","Rabatt"
"Your Grand Total","Gesamtsumme"
"Tax","MwSt."
"Common Layout","Allgemeines Layout"
"License Key","Lizenz-Schlüssel"
"Theme","Theme"
"Enable Debug Mode","Debug-Modus aktivieren"
"Image Template File","Bild-Datei für PDF-Hintergrund"
"Image Template File for Backend","Bild-Datei für PDF-Hintergrund bei Ausdruck im Backend"
"Sender Address","Absenderadresse"
"Footer Text, 1. Column","Fusszeile, 1. Spalte"
"Footer Text, 2. Column","Fusszeile, 2. Spalte"
"Footer Text, 3. Column","Fusszeile, 3. Spalte"
"Display Address Country","Land in Adresse anzeigen"
"Show Taxes","Steuer ausweisen"
"Tax Display Type","Ausweis der MwSt."
"Show Tax Rate Name","Steuernamen anzeigen"
"Show Order Comments","Bestellkommentare anzeigen"
"Show Header on every Page","Kopfzeile auf jeder Seite anzeigen"
"Font Family","Schriftart"
"PDF Options","PDF-Optionen"
"Author","Author"
"Use AdvancedInvoiceLayout for Invoices","AdvancedInvoiceLayout für Rechnungen aktivieren"
"File Path Storage","Speichern in Ordner"
"File Name Prefix","Präfix für PDF-Datei"
"Attach PDF to Email","PDF-Dokument an Email anhängen"
"Show Cross-sell Products","Crosssell-Produkte anzeigen"
"Show Tax / VAT number","Steuernummer anzeigen"
"Show Customer Email","Email-Adresse des Kunden anzeigen"
"Show Gift Message","Geschenknachricht anzeigen"
"Show Product Short Description","Produkt-Kurzbeschreibung anzeigen"
"Show Product Image","Produktbild anzeigen"
"Hide Shipping Address if identical","Lieferadresse ausblenden, wenn identisch mit Rechnungsadresse"
"Hide Billing Address if identical","Rechnungsadresse ausblenden, wenn identisch mit Lieferadresse"
"Show additional attributes","Zusätzliche Produktattribute anzeigen"
"Show Invoice Comments","Rechnungskommentare anzeigen"
"Salutation Text","Einleitungstext"
"Free Text","Freitext"
"QR Code Contents","Inhalt des QR-Codes"
"Show Coupon Code","Coupon-Code anzeigen"
"Enable Invoice Signature","Rechnungssignatur aktivieren"
"Username","Benutzername"
"Password","Password"
"Account No.","Kontonr."
"Shipment","Lieferschein"
"Use AdvancedInvoiceLayout for Shipments","AdvancedInvoiceLayout für Lieferscheine aktivieren"
"Show Shipment Comments","Lieferscheinkommentare anzeigen"
"Creditmemo","Gutschrift"
"Use AdvancedInvoiceLayout for Creditmemos","AdvancedInvoiceLayout für Gutschriften aktivieren"
"Show Creditmemo Comments","Gutschriftkommentare anzeigen"
"Header Layout","Layout Kopfbereich"
"Footer Layout","Layout Fussbereich"
"Show All Amounts With Negative Sign","Alle Beträge mit negativem Vorzeichen anzeigen"
"Do you already know our <a href=""%"" target=""_blank"">AutomaticInvoice</a> extension for automatically generating invoices and shipments depending on certain order status?","Kennen Sie schon unsere <a href=""%"" target=""_blank"">AutomaticInvoice</a> Extension, die abhängig vom Magento Bestellstatus Rechnungen und Lieferscheine automatisch erzeugen kann?"
"Tax rate","Steuersatz"
"Merchandise value (excl. tax)","Warenwert (exkl. MwSt.)"
"Merchandise value (incl. tax)","Warenwert (inkl. MwSt.)"
"incl. tax value","enth. MwSt."
"Subtotal (excl. tax)","Warensumme (netto)"
"Shipping & Handling Tax","MwSt. für Versand"
"Print PDF invoices","PDF-Rechnungen drucken"
"Print PDF shipments","PDF-Lieferscheine drucken"
"Print PDF creditmemos","PDF-Gutschriften drucken"
"incl.","inkl."